Sample_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]	Sequencing center [OBI_0001891]
1927.SRS011275.SRX020659.SRR044995	700015265 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011275.SRX020661.SRR044769	700015265 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011277.SRX020515.SRR045360	700015268 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011277.SRX020571.SRR045480	700015268 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011279.SRX020661.SRR047466	700015271 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011279.SRX020662.SRR045406	700015271 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011279.SRX020664.SRR045429	700015271 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011281.SRX020663.SRR045160	700015274 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011281.SRX020667.SRR045239	700015274 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011283.SRX020659.SRR045032	700015277 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011283.SRX020661.SRR047464	700015277 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011285.SRX020571.SRR045492	700015280 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011285.SRX020663.SRR045169	700015280 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011285.SRX020667.SRR045248	700015280 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011287.SRX020662.SRR045413	700015283 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011287.SRX020663.SRR045193	700015283 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011287.SRX020664.SRR045439	700015283 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011287.SRX020667.SRR045267	700015283 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011289.SRX020659.SRR045058	700015286 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011289.SRX020661.SRR044835	700015286 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011290.SRX020515.SRR045368	700015289 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011290.SRX020537.SRR045386	700015289 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011290.SRX020570.SRR047531	700015289 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011290.SRX020571.SRR045485	700015289 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011292.SRX020537.SRR045395	700015292 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011292.SRX020570.SRR047532	700015292 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011293.SRX020515.SRR049319	700015295 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011293.SRX020537.SRR045379	700015295 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011293.SRX020570.SRR045451	700015295 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011294.SRX020537.SRR045398	700015298 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011294.SRX020570.SRR049323	700015298 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011296.SRX020659.SRR049237	700015301 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011296.SRX020661.SRR044833	700015301 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011300.SRX020659.SRR045006	700015407 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011300.SRX020661.SRR044778	700015407 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011357.SRX020659.SRR044990	700015633 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011357.SRX020661.SRR044763	700015633 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011359.SRX020537.SRR045392	700015641 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011359.SRX020570.SRR045460	700015641 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011361.SRX020515.SRR045371	700015644 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011361.SRX020537.SRR045390	700015644 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011361.SRX020570.SRR045458	700015644 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011363.SRX020663.SRR045208	700015647 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011363.SRX020667.SRR045281	700015647 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011365.SRX020515.SRR045373	700015650 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011365.SRX020537.SRR045393	700015650 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011365.SRX020570.SRR045461	700015650 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011367.SRX020663.SRR045155	700015653 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011367.SRX020667.SRR045235	700015653 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011369.SRX020662.SRR045409	700015656 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011369.SRX020663.SRR045184	700015656 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011369.SRX020664.SRR045433	700015656 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011369.SRX020667.SRR045262	700015656 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011371.SRX020659.SRR045031	700015659 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011371.SRX020661.SRR044804	700015659 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011373.SRX020659.SRR045056	700015662 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011373.SRX020661.SRR044832	700015662 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011375.SRX020515.SRR049321	700015665 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011375.SRX020537.SRR045399	700015665 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011375.SRX020570.SRR047533	700015665 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011377.SRX020515.SRR045362	700015668 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011377.SRX020537.SRR045381	700015668 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011377.SRX020570.SRR045453	700015668 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011378.SRX020570.SRR045455	700015671 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011378.SRX020571.SRR045472	700015671 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011380.SRX020659.SRR045019	700015677 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011380.SRX020661.SRR049228	700015677 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011380.SRX020662.SRR047518	700015677 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011380.SRX020664.SRR045431	700015677 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011405.SRX020659.SRR046237	700015981 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011405.SRX020661.SRR044803	700015981 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011407.SRX020659.SRR045012	700015993 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011407.SRX020661.SRR044785	700015993 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011409.SRX020659.SRR045044	700015999 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011409.SRX020661.SRR044819	700015999 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011410.SRX020659.SRR045027	700016012 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011410.SRX020661.SRR044800	700016012 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011413.SRX020659.SRR045020	700016021 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011413.SRX020661.SRR044792	700016021 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011415.SRX020659.SRR045013	700016029 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011415.SRX020661.SRR044786	700016029 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011417.SRX020659.SRR047484	700016059 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011417.SRX020661.SRR044797	700016059 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011419.SRX020659.SRR045011	700016063 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011419.SRX020661.SRR044784	700016063 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011421.SRX020663.SRR045156	700016065 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011421.SRX020667.SRR045236	700016065 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011423.SRX020659.SRR045022	700016067 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011423.SRX020661.SRR044794	700016067 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011425.SRX020659.SRR045030	700016069 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011425.SRX020661.SRR044811	700016069 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011427.SRX020663.SRR045175	700016071 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011427.SRX020667.SRR045254	700016071 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011429.SRX020663.SRR045163	700016073 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011429.SRX020667.SRR045242	700016073 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011431.SRX020659.SRR044998	700016075 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011431.SRX020661.SRR044771	700016075 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011433.SRX020659.SRR045016	700016077 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011433.SRX020661.SRR044789	700016077 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011434.SRX020662.SRR045405	700016079 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011434.SRX020663.SRR045194	700016079 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011434.SRX020664.SRR045428	700016079 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011434.SRX020667.SRR045268	700016079 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011435.SRX020662.SRR045414	700016081 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011435.SRX020663.SRR045164	700016081 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011435.SRX020664.SRR045440	700016081 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011435.SRX020667.SRR045243	700016081 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011436.SRX020662.SRR047522	700016083 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011436.SRX020663.SRR045154	700016083 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011436.SRX020664.SRR045436	700016083 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011436.SRX020667.SRR045234	700016083 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011438.SRX020571.SRR045474	700016085 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011438.SRX020663.SRR045159	700016085 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011438.SRX020667.SRR045238	700016085 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011440.SRX020663.SRR045186	700016087 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011440.SRX020667.SRR049311	700016087 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011441.SRX020571.SRR045475	700016089 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011441.SRX020662.SRR045423	700016089 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011441.SRX020663.SRR045206	700016089 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011441.SRX020664.SRR045448	700016089 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011441.SRX020667.SRR045280	700016089 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011442.SRX020571.SRR045470	700016091 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011442.SRX020662.SRR045402	700016091 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011442.SRX020663.SRR045209	700016091 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011442.SRX020664.SRR045425	700016091 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011442.SRX020667.SRR045282	700016091 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011442.SRX020668.SRR045135	700016091 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011443.SRX020571.SRR047536	700016092 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011443.SRX020662.SRR045412	700016092 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011443.SRX020663.SRR045188	700016092 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011443.SRX020664.SRR045438	700016092 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011444.SRX020571.SRR045484	700016095 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011444.SRX020663.SRR045149	700016095 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011444.SRX020667.SRR045228	700016095 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011446.SRX020663.SRR045196	700016097 (Source)	Vagina	Mucus	Vaginal introitus	V1-V3	Vaginal swab	WUGSC
1927.SRS011446.SRX020667.SRR045270	700016097 (Source)	Vagina	Mucus	Vaginal introitus	V1-V3	Vaginal swab	WUGSC
1927.SRS011448.SRX020659.SRR047488	700016099 (Source)	Vagina	Mucus	Central vagina	V1-V3	Vaginal swab	WUGSC
1927.SRS011448.SRX020661.SRR044820	700016099 (Source)	Vagina	Mucus	Central vagina	V1-V3	Vaginal swab	WUGSC
1927.SRS011450.SRX020663.SRR045166	700016101 (Source)	Vagina	Mucus	Posterior fornix of vagina	V1-V3	Vaginal swab	WUGSC
1927.SRS011450.SRX020667.SRR045245	700016101 (Source)	Vagina	Mucus	Posterior fornix of vagina	V1-V3	Vaginal swab	WUGSC
1927.SRS011452.SRX020659.SRR047485	700016142 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011452.SRX020661.SRR044798	700016142 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011454.SRX020663.SRR046238	700016150 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011454.SRX020667.SRR047499	700016150 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011456.SRX020659.SRR045034	700016154 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011456.SRX020661.SRR044806	700016154 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011458.SRX020663.SRR045179	700016156 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011458.SRX020667.SRR045258	700016156 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011460.SRX020659.SRR045003	700016158 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011460.SRX020661.SRR044810	700016158 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011462.SRX020663.SRR045147	700016160 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011462.SRX020667.SRR045226	700016160 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011464.SRX020663.SRR045187	700016162 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011464.SRX020667.SRR047504	700016162 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011466.SRX020663.SRR045171	700016164 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011466.SRX020667.SRR045250	700016164 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011468.SRX020663.SRR045204	700016166 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011468.SRX020667.SRR045278	700016166 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011470.SRX020659.SRR045000	700016168 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011470.SRX020661.SRR044773	700016168 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011472.SRX020663.SRR045150	700016170 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011472.SRX020667.SRR045231	700016170 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011474.SRX020663.SRR045215	700016172 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011474.SRX020667.SRR045286	700016172 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011475.SRX020571.SRR047535	700016174 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011475.SRX020662.SRR047519	700016174 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011475.SRX020663.SRR045212	700016174 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011475.SRX020664.SRR047524	700016174 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011475.SRX020667.SRR045283	700016174 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011477.SRX020662.SRR045417	700016176 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011477.SRX020663.SRR045142	700016176 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011477.SRX020664.SRR047526	700016176 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011477.SRX020667.SRR045221	700016176 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011479.SRX020662.SRR045403	700016178 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011479.SRX020663.SRR045189	700016178 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011479.SRX020664.SRR045426	700016178 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
