Sample_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]	Sequencing center [OBI_0001891]
1928.SRS011175.SRX020666.SRR044910	700014994 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011175.SRX020669.SRR045292	700014994 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011177.SRX020666.SRR044936	700014997 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011177.SRX020669.SRR045318	700014997 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011179.SRX020515.SRR045376	700015000 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011180.SRX020515.SRR045372	700015003 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011180.SRX020571.SRR045481	700015003 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011181.SRX020515.SRR045370	700015006 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011182.SRX020515.SRR045359	700015009 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011271.SRX020666.SRR044974	700015250 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011271.SRX020669.SRR049646	700015250 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011273.SRX020666.SRR044970	700015260 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011273.SRX020669.SRR045343	700015260 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011275.SRX020666.SRR044913	700015265 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011275.SRX020669.SRR045295	700015265 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011277.SRX020515.SRR045360	700015268 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011277.SRX020570.SRR045450	700015268 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011279.SRX020666.SRR044988	700015271 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011279.SRX020669.SRR045358	700015271 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011281.SRX020660.SRR044860	700015274 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011281.SRX020668.SRR045088	700015274 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011283.SRX020666.SRR044951	700015277 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011283.SRX020669.SRR045329	700015277 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011285.SRX020660.SRR047473	700015280 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011285.SRX020662.SRR045419	700015280 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011285.SRX020664.SRR045444	700015280 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011285.SRX020668.SRR045095	700015280 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011287.SRX020660.SRR044887	700015283 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011287.SRX020662.SRR045413	700015283 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011287.SRX020664.SRR045439	700015283 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011287.SRX020668.SRR045119	700015283 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011289.SRX020666.SRR044982	700015286 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011289.SRX020669.SRR045353	700015286 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011290.SRX020515.SRR045368	700015289 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011292.SRX020515.SRR045374	700015292 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011292.SRX020537.SRR045395	700015292 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011292.SRX020570.SRR047532	700015292 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011293.SRX020515.SRR049319	700015295 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011294.SRX020515.SRR045377	700015298 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011294.SRX020537.SRR045398	700015298 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011294.SRX020570.SRR049323	700015298 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011296.SRX020666.SRR044980	700015301 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011296.SRX020669.SRR045351	700015301 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011300.SRX020666.SRR047479	700015407 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011300.SRX020669.SRR045304	700015407 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011357.SRX020666.SRR047477	700015633 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011357.SRX020669.SRR045289	700015633 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011359.SRX020515.SRR049320	700015641 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011361.SRX020515.SRR045371	700015644 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011363.SRX020660.SRR044902	700015647 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011363.SRX020668.SRR045134	700015647 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011365.SRX020515.SRR045373	700015650 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011367.SRX020660.SRR044857	700015653 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011367.SRX020668.SRR045083	700015653 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011369.SRX020660.SRR044880	700015656 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011369.SRX020668.SRR045110	700015656 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011371.SRX020666.SRR044950	700015659 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011371.SRX020669.SRR047512	700015659 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011373.SRX020666.SRR044979	700015662 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011373.SRX020669.SRR045350	700015662 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011375.SRX020515.SRR049321	700015665 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011375.SRX020537.SRR045399	700015665 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011375.SRX020570.SRR047533	700015665 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011375.SRX020571.SRR047537	700015665 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011377.SRX020515.SRR045362	700015668 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011378.SRX020515.SRR045367	700015671 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011378.SRX020570.SRR045455	700015671 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011380.SRX020662.SRR047518	700015677 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011380.SRX020664.SRR045431	700015677 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011380.SRX020666.SRR044937	700015677 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011380.SRX020669.SRR045319	700015677 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011405.SRX020666.SRR044948	700015981 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011405.SRX020669.SRR049315	700015981 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011407.SRX020666.SRR044929	700015993 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011407.SRX020669.SRR045311	700015993 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011409.SRX020666.SRR044964	700015999 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011409.SRX020669.SRR047515	700015999 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011410.SRX020666.SRR044946	700016012 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011410.SRX020669.SRR047510	700016012 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011413.SRX020666.SRR049235	700016021 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011413.SRX020669.SRR047508	700016021 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011415.SRX020666.SRR044930	700016029 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011415.SRX020669.SRR045312	700016029 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011417.SRX020666.SRR044943	700016059 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011417.SRX020669.SRR045326	700016059 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011419.SRX020666.SRR044928	700016063 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011419.SRX020669.SRR045310	700016063 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011421.SRX020660.SRR044858	700016065 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011421.SRX020668.SRR045084	700016065 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011423.SRX020666.SRR044939	700016067 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011423.SRX020669.SRR045321	700016067 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011425.SRX020666.SRR044949	700016069 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011425.SRX020669.SRR047511	700016069 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011427.SRX020660.SRR044871	700016071 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011427.SRX020668.SRR045101	700016071 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011429.SRX020660.SRR044862	700016073 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011429.SRX020668.SRR045090	700016073 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011431.SRX020666.SRR044916	700016075 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011431.SRX020669.SRR045297	700016075 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011433.SRX020666.SRR044933	700016077 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011433.SRX020669.SRR045315	700016077 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011434.SRX020660.SRR044888	700016079 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011434.SRX020662.SRR045405	700016079 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011434.SRX020664.SRR045428	700016079 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011434.SRX020668.SRR045120	700016079 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011435.SRX020662.SRR045414	700016081 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011435.SRX020664.SRR045440	700016081 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011436.SRX020660.SRR044856	700016083 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011436.SRX020662.SRR047522	700016083 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011436.SRX020664.SRR045436	700016083 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011436.SRX020668.SRR045082	700016083 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011438.SRX020660.SRR049232	700016085 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011438.SRX020662.SRR047520	700016085 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011438.SRX020664.SRR047525	700016085 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011438.SRX020668.SRR045087	700016085 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011440.SRX020660.SRR044882	700016087 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011440.SRX020668.SRR045112	700016087 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011441.SRX020660.SRR044900	700016089 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011441.SRX020662.SRR045423	700016089 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011441.SRX020664.SRR045448	700016089 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011441.SRX020668.SRR045132	700016089 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011442.SRX020571.SRR045470	700016091 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011442.SRX020571.SRR045490	700016091 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011442.SRX020660.SRR044903	700016091 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011442.SRX020662.SRR045402	700016091 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011442.SRX020664.SRR045425	700016091 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011442.SRX020668.SRR045135	700016091 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011443.SRX020662.SRR045412	700016092 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011443.SRX020664.SRR045438	700016092 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011443.SRX020668.SRR045114	700016092 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011444.SRX020660.SRR044851	700016095 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011444.SRX020662.SRR045421	700016095 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011444.SRX020664.SRR045446	700016095 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011444.SRX020668.SRR045076	700016095 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011446.SRX020660.SRR044890	700016097 (Source)	Vagina	Mucus	Vaginal introitus	V3-V5	Mucus	WUGSC
1928.SRS011446.SRX020668.SRR045122	700016097 (Source)	Vagina	Mucus	Vaginal introitus	V3-V5	Mucus	WUGSC
1928.SRS011448.SRX020666.SRR044965	700016099 (Source)	Vagina	Mucus	Central vagina	V3-V5	Mucus	WUGSC
1928.SRS011448.SRX020669.SRR045338	700016099 (Source)	Vagina	Mucus	Central vagina	V3-V5	Mucus	WUGSC
1928.SRS011450.SRX020660.SRR044864	700016101 (Source)	Vagina	Mucus	Posterior fornix of vagina	V3-V5	Mucus	WUGSC
1928.SRS011450.SRX020668.SRR045092	700016101 (Source)	Vagina	Mucus	Posterior fornix of vagina	V3-V5	Mucus	WUGSC
1928.SRS011452.SRX020666.SRR044944	700016142 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011452.SRX020669.SRR045327	700016142 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011454.SRX020660.SRR044853	700016150 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011454.SRX020668.SRR045078	700016150 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011456.SRX020666.SRR044953	700016154 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011456.SRX020669.SRR045331	700016154 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011458.SRX020660.SRR044874	700016156 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011458.SRX020668.SRR045104	700016156 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011460.SRX020666.SRR044921	700016158 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011460.SRX020669.SRR045301	700016158 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011462.SRX020660.SRR044849	700016160 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011462.SRX020668.SRR045074	700016160 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011464.SRX020660.SRR044883	700016162 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011464.SRX020668.SRR045113	700016162 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011466.SRX020660.SRR044867	700016164 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011466.SRX020668.SRR045097	700016164 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011468.SRX020660.SRR044898	700016166 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011468.SRX020668.SRR045130	700016166 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011470.SRX020666.SRR044918	700016168 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011470.SRX020669.SRR045299	700016168 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011472.SRX020660.SRR047469	700016170 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011472.SRX020668.SRR047491	700016170 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011474.SRX020660.SRR044906	700016172 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011474.SRX020668.SRR047495	700016172 (Source)	Skin	Sebum	External ear	V3-V5	Sebum	WUGSC
1928.SRS011475.SRX020660.SRR044904	700016174 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011475.SRX020662.SRR047519	700016174 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011475.SRX020664.SRR047524	700016174 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011475.SRX020668.SRR045137	700016174 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011477.SRX020660.SRR044844	700016176 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011477.SRX020662.SRR045417	700016176 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011477.SRX020664.SRR047526	700016176 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011477.SRX020668.SRR045069	700016176 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS011479.SRX020660.SRR044884	700016178 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011479.SRX020662.SRR045403	700016178 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011479.SRX020664.SRR045426	700016178 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011479.SRX020668.SRR045115	700016178 (Source)	Skin	Sebum	Skin of nose	V3-V5	Sebum	WUGSC
1928.SRS011482.SRX020660.SRR044841	700016315 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011482.SRX020668.SRR045066	700016315 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011484.SRX020660.SRR044872	700016319 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011484.SRX020668.SRR045102	700016319 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011485.SRX020571.SRR045486	700016321 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011485.SRX020662.SRR047521	700016321 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011485.SRX020664.SRR045435	700016321 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011486.SRX020662.SRR045422	700016323 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011486.SRX020664.SRR045447	700016323 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011486.SRX020668.SRR045117	700016323 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011488.SRX020660.SRR044876	700016325 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011488.SRX020668.SRR045106	700016325 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011490.SRX020660.SRR044865	700016327 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011490.SRX020662.SRR045408	700016327 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011490.SRX020664.SRR045432	700016327 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011490.SRX020668.SRR045093	700016327 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
